DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
BOOST	12	16	10000	2	1	287729870	0
BOOST	13	16	10000	2	1	270183467	0
BOOST	14	16	10000	2	1	352877471	0
BOOST	15	16	10000	2	1	342280522	0
BOOST	16	16	10000	2	1	297744189	0
BOOST	17	16	10000	2	1	319889063	0
BOOST	18	16	10000	2	1	321739933	0
BOOST	19	16	10000	2	1	60077	0
STMVE	01	16	10000	2	1	4482936	0
STMVE	02	16	10000	2	1	4334076	0
STMVE	03	16	10000	2	1	4484652	2329
STMVE	04	16	10000	2	1	4621960	0
STMVE	05	16	10000	2	1	4481610	0
STMVE	06	16	10000	2	1	4527152	0
STMVE	07	16	10000	2	1	4702368	0
STMVE	08	16	10000	2	1	4599696	0
STMVE	09	16	10000	2	1	4618768	0
STMVE	10	16	10000	2	1	4538614	0
STMVE	11	16	10000	2	1	4521769	0
STMVE	12	16	10000	2	1	4505302	0
STMVE	13	16	10000	2	1	4539064	0
STMVE	14	16	10000	2	1	4645003	0
STMVE	15	16	10000	2	1	4516081	0
STMVE	16	16	10000	2	1	4445526	0
STMVE	17	16	10000	2	1	4729059	0
STMVE	18	16	10000	2	1	4567728	0
STMVE	19	16	10000	2	1	66238	1
SEGME	01	16	10000	3	1	34629358	0
SEGME	02	16	10000	3	1	28345623	0
SEGME	03	16	10000	3	1	32715974	0
SEGME	04	16	10000	3	1	86627619	0
SEGME	05	16	10000	3	1	80285341	0
SEGME	06	16	10000	3	1	85298874	0
SEGME	07	16	10000	3	1	85945028	0
SEGME	08	16	10000	3	1	83796109	0
SEGME	09	16	10000	3	1	85983972	0
SEGME	10	16	10000	3	1	83497646	0
SEGME	11	16	10000	3	1	60886279	0
SEGME	12	16	10000	3	1	49195821	0
SEGME	13	16	10000	3	1	43372654	0
SEGME	14	16	10000	3	1	75747345	0
SEGME	15	16	10000	3	1	71242851	0
SEGME	16	16	10000	3	1	31702061	0
SEGME	17	16	10000	3	1	28621540	0
SEGME	18	16	10000	3	1	26144093	2455
SEGME	19	16	10000	3	1	58220	0
COMPA	01	16	10000	3	1	590193590	0
COMPA	02	16	10000	3	1	591161481	0
COMPA	03	16	10000	3	1	258926361	0
COMPA	04	16	10000	3	1	605904138	0
COMPA	05	16	10000	3	1	601123897	0
COMPA	06	16	10000	3	1	604160302	0
COMPA	07	16	10000	3	1	602616559	0
COMPA	08	16	10000	3	1	602849655	0
COMPA	09	16	10000	3	1	604979888	0
COMPA	10	16	10000	3	1	603064696	0
COMPA	11	16	10000	3	1	476424785	0
