DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
BOOST	12	16	10000	2	1	33753109	0
BOOST	13	16	10000	2	1	51927491	0
BOOST	14	16	10000	2	1	41656557	0
BOOST	15	16	10000	2	1	55702348	0
BOOST	16	16	10000	2	1	54303355	0
BOOST	17	16	10000	2	1	56489828	0
BOOST	18	16	10000	2	1	35627607	0
BOOST	19	16	10000	2	1	68369	0
STMVE	01	16	10000	2	1	3482821	0
STMVE	02	16	10000	2	1	3500929	0
STMVE	03	16	10000	2	1	3946661	2375
STMVE	04	16	10000	2	1	3526094	0
STMVE	05	16	10000	2	1	3619957	0
STMVE	06	16	10000	2	1	3814047	0
STMVE	07	16	10000	2	1	3796355	0
STMVE	08	16	10000	2	1	3753573	0
STMVE	09	16	10000	2	1	3708975	0
STMVE	10	16	10000	2	1	3743550	0
STMVE	11	16	10000	2	1	4026874	0
STMVE	12	16	10000	2	1	4050438	0
STMVE	13	16	10000	2	1	4087291	0
STMVE	14	16	10000	2	1	3920827	0
STMVE	15	16	10000	2	1	3956450	0
STMVE	16	16	10000	2	1	3830839	0
STMVE	17	16	10000	2	1	3814855	0
STMVE	18	16	10000	2	1	3761080	0
STMVE	19	16	10000	2	1	95243	1
SEGME	01	16	10000	3	1	17006546	0
SEGME	02	16	10000	3	1	13063184	0
SEGME	03	16	10000	3	1	17712858	0
SEGME	04	16	10000	3	1	34835662	0
SEGME	05	16	10000	3	1	33340471	0
SEGME	06	16	10000	3	1	34830014	0
SEGME	07	16	10000	3	1	35210108	0
SEGME	08	16	10000	3	1	35307047	0
SEGME	09	16	10000	3	1	35052614	0
SEGME	10	16	10000	3	1	32956257	0
SEGME	11	16	10000	3	1	27771095	0
SEGME	12	16	10000	3	1	24519859	0
SEGME	13	16	10000	3	1	21686801	0
SEGME	14	16	10000	3	1	31888368	0
SEGME	15	16	10000	3	1	30710279	0
SEGME	16	16	10000	3	1	17219830	0
SEGME	17	16	10000	3	1	14632316	0
SEGME	18	16	10000	3	1	13520367	2526
SEGME	19	16	10000	3	1	62296	0
COMPA	01	16	10000	3	1	65987037	0
COMPA	02	16	10000	3	1	81343819	0
COMPA	03	16	10000	3	1	46307850	0
COMPA	04	16	10000	3	1	87531523	0
COMPA	05	16	10000	3	1	67206326	0
COMPA	06	16	10000	3	1	87761439	0
COMPA	07	16	10000	3	1	70467243	0
COMPA	08	16	10000	3	1	85409826	0
COMPA	09	16	10000	3	1	88656876	0
COMPA	10	16	10000	3	1	84794515	0
COMPA	11	16	10000	3	1	56891383	0
COMPA	12	16	10000	3	1	50703537	0
COMPA	13	16	10000	3	1	64207338	0
COMPA	14	16	10000	3	1	82013845	0
COMPA	15	16	10000	3	1	77333498	0
COMPA	16	16	10000	3	1	45703497	0
COMPA	17	16	10000	3	1	68932108	0
COMPA	18	16	10000	3	1	40641873	2425
COMPA	19	16	10000	3	1	140985	0
BOOST	01	16	10000	3	1	83595498	0
BOOST	02	16	10000	3	1	84448870	0
BOOST	03	16	10000	3	1	48705510	0
BOOST	04	16	10000	3	1	85143345	0
BOOST	05	16	10000	3	1	84239744	0
BOOST	06	16	10000	3	1	83368782	0
BOOST	07	16	10000	3	1	84897349	0
BOOST	08	16	10000	3	1	82891375	0
BOOST	09	16	10000	3	1	66337691	0
BOOST	10	16	10000	3	1	66061138	0
BOOST	11	16	10000	3	1	70053332	0
BOOST	12	16	10000	3	1	48275128	0
BOOST	13	16	10000	3	1	44438575	0
BOOST	14	16	10000	3	1	77378212	0
BOOST	15	16	10000	3	1	58424087	0
BOOST	16	16	10000	3	1	62969956	0
BOOST	17	16	10000	3	1	68287539	0
BOOST	18	16	10000	3	1	58940381	0
BOOST	19	16	10000	3	1	90620	0
STMVE	01	16	10000	3	1	3555044	0
STMVE	02	16	10000	3	1	3507369	0
STMVE	03	16	10000	3	1	4088078	2985
STMVE	04	16	10000	3	1	3597101	0
STMVE	05	16	10000	3	1	3634098	0
STMVE	06	16	10000	3	1	4075549	0
STMVE	07	16	10000	3	1	3950138	0
STMVE	08	16	10000	3	1	3970966	0
STMVE	09	16	10000	3	1	3871826	0
STMVE	10	16	10000	3	1	3958742	0
STMVE	11	16	10000	3	1	4332761	0
STMVE	12	16	10000	3	1	4322400	0
STMVE	13	16	10000	3	1	4356511	0
STMVE	14	16	10000	3	1	4231678	0
STMVE	15	16	10000	3	1	4272463	0
STMVE	16	16	10000	3	1	4017754	0
STMVE	17	16	10000	3	1	4003171	0
STMVE	18	16	10000	3	1	3775727	2761
STMVE	19	16	10000	3	1	69985	1
SEGME	01	16	10000	4	1	18730385	0
SEGME	02	16	10000	4	1	14623455	0
SEGME	03	16	10000	4	1	20280443	0
SEGME	04	16	10000	4	1	41270309	0
SEGME	05	16	10000	4	1	37379004	0
SEGME	06	16	10000	4	1	40289184	0
SEGME	07	16	10000	4	1	39975147	0
SEGME	08	16	10000	4	1	39524103	0
SEGME	09	16	10000	4	1	40734636	0
SEGME	10	16	10000	4	1	39372613	0
SEGME	11	16	10000	4	1	31245857	0
SEGME	12	16	10000	4	1	28294452	0
SEGME	13	16	10000	4	1	24104522	0
SEGME	14	16	10000	4	1	36489515	0
SEGME	15	16	10000	4	1	35321035	0
SEGME	16	16	10000	4	1	16366952	0
SEGME	17	16	10000	4	1	15202456	0
SEGME	18	16	10000	4	1	13333068	4147
SEGME	19	16	10000	4	1	139032	0
COMPA	01	16	10000	4	1	104707704	0
COMPA	02	16	10000	4	1	105261917	0
COMPA	03	16	10000	4	1	53421277	0
COMPA	04	16	10000	4	1	108076227	0
COMPA	05	16	10000	4	1	91369984	0
COMPA	06	16	10000	4	1	109807976	0
COMPA	07	16	10000	4	1	107620199	0
COMPA	08	16	10000	4	1	91635958	0
COMPA	09	16	10000	4	1	92244450	0
COMPA	10	16	10000	4	1	108253775	0
COMPA	11	16	10000	4	1	69820712	0
COMPA	12	16	10000	4	1	79323393	0
COMPA	13	16	10000	4	1	71210667	0
COMPA	14	16	10000	4	1	82522765	0
COMPA	15	16	10000	4	1	95832921	0
COMPA	16	16	10000	4	1	70091853	0
COMPA	17	16	10000	4	1	78484359	0
COMPA	18	16	10000	4	1	57912301	4214
COMPA	19	16	10000	4	1	144815	0
BOOST	01	16	10000	4	1	104127083	0
BOOST	02	16	10000	4	1	98246930	0
BOOST	03	16	10000	4	1	55055159	0
BOOST	04	16	10000	4	1	106179197	0
BOOST	05	16	10000	4	1	88950568	0
BOOST	06	16	10000	4	1	102814401	0
BOOST	07	16	10000	4	1	101249654	0
BOOST	08	16	10000	4	1	105559751	0
BOOST	09	16	10000	4	1	86370717	0
BOOST	10	16	10000	4	1	107132004	0
BOOST	11	16	10000	4	1	70961226	0
BOOST	12	16	10000	4	1	59222172	0
BOOST	13	16	10000	4	1	72651018	0
BOOST	14	16	10000	4	1	78306415	0
BOOST	15	16	10000	4	1	74787604	0
BOOST	16	16	10000	4	1	53202170	0
BOOST	17	16	10000	4	1	82174919	0
BOOST	18	16	10000	4	1	55840000	0
BOOST	19	16	10000	4	1	72859	0
STMVE	01	16	10000	4	1	3666448	0
STMVE	02	16	10000	4	1	3631422	0
STMVE	03	16	10000	4	1	4267182	3531
STMVE	04	16	10000	4	1	3725353	0
STMVE	05	16	10000	4	1	3686478	0
STMVE	06	16	10000	4	1	4312256	0
STMVE	07	16	10000	4	1	4119816	0
STMVE	08	16	10000	4	1	4162412	0
STMVE	09	16	10000	4	1	4036455	0
STMVE	10	16	10000	4	1	4033242	0
STMVE	11	16	10000	4	1	4719473	0
STMVE	12	16	10000	4	1	4692600	0
STMVE	13	16	10000	4	1	4728715	0
STMVE	14	16	10000	4	1	4580486	0
STMVE	15	16	10000	4	1	4633975	0
STMVE	16	16	10000	4	1	4262197	0
STMVE	17	16	10000	4	1	4218254	0
STMVE	18	16	10000	4	1	3841338	4269
STMVE	19	16	10000	4	1	93092	1
SEGME	01	16	10000	5	1	19424002	0
SEGME	02	16	10000	5	1	16485644	0
SEGME	03	16	10000	5	1	21929440	0
SEGME	04	16	10000	5	1	50266774	0
SEGME	05	16	10000	5	1	43618189	0
SEGME	06	16	10000	5	1	47386480	0
SEGME	07	16	10000	5	1	49811534	0
SEGME	08	16	10000	5	1	51124415	0
SEGME	09	16	10000	5	1	52181237	0
SEGME	10	16	10000	5	1	50634613	0
SEGME	11	16	10000	5	1	40389742	0
SEGME	12	16	10000	5	1	34080366	0
SEGME	13	16	10000	5	1	29830268	0
SEGME	14	16	10000	5	1	46902952	0
SEGME	15	16	10000	5	1	43367715	0
SEGME	16	16	10000	5	1	19292348	0
SEGME	17	16	10000	5	1	17154121	0
SEGME	18	16	10000	5	1	13526995	5132
SEGME	19	16	10000	5	1	132143	0
COMPA	01	16	10000	5	1	126070136	0
COMPA	02	16	10000	5	1	125497498	0
COMPA	03	16	10000	5	1	43527252	0
COMPA	04	16	10000	5	1	131561299	0
COMPA	05	16	10000	5	1	128152549	0
COMPA	06	16	10000	5	1	131652495	0
COMPA	07	16	10000	5	1	133473137	0
COMPA	08	16	10000	5	1	118096908	0
COMPA	09	16	10000	5	1	132833486	0
COMPA	10	16	10000	5	1	132642860	0
COMPA	11	16	10000	5	1	104888889	0
