DS	TESTCASE	SGMT_SIZE	NUM_TXN	TXN_SIZE	THRD_CNT	TIME	ABORTS	SYSTEM	THRUPUT	RELATIVE
STMVE	13	16	10000	1	1	3634936	0	INTEL	2751080.074037067	1.0
STMVE	14	16	10000	1	1	3664393	0	INTEL	2728964.9336192925	1.0
STMVE	15	16	10000	1	1	3656185	0	INTEL	2735091.3588891155	1.0
STMVE	16	16	10000	1	1	3518569	0	INTEL	2842064.487011623	1.0
STMVE	17	16	10000	1	1	3405320	0	INTEL	2936581.58410957	1.0
STMVE	18	16	10000	1	1	3485343	0	INTEL	2869158.0713863745	1.0
STMVE	19	16	10000	1	1	148218	1	INTEL	67468188.74900484	1.0
SEGME	1	16	10000	2	1	14652914	0	INTEL	1364916.2207599117	1.0
SEGME	2	16	10000	2	1	11373788	0	INTEL	1758429.1178981005	1.0
SEGME	3	16	10000	2	1	13671298	0	INTEL	1462918.8830497295	1.0
SEGME	4	16	10000	2	1	24294218	0	INTEL	823241.1514542267	1.0
SEGME	5	16	10000	2	1	22381313	0	INTEL	893602.6228666746	1.0
SEGME	6	16	10000	2	1	24929536	0	INTEL	802261.2213881558	1.0
SEGME	7	16	10000	2	1	25753304	0	INTEL	776599.383131578	1.0
SEGME	8	16	10000	2	1	23604003	0	INTEL	847313.9068826588	1.0
SEGME	9	16	10000	2	1	24864081	0	INTEL	804373.1839515805	1.0
SEGME	10	16	10000	2	1	22748915	0	INTEL	879162.8084240501	1.0
SEGME	11	16	10000	2	1	21174614	0	INTEL	944527.2532476861	1.0
SEGME	12	16	10000	2	1	17724856	0	INTEL	1128358.9553562521	1.0
SEGME	13	16	10000	2	1	16898130	0	INTEL	1183562.9149497608	1.0
SEGME	14	16	10000	2	1	22519038	0	INTEL	888137.4062249018	1.0
SEGME	15	16	10000	2	1	23074741	0	INTEL	866748.6235273454	1.0
SEGME	16	16	10000	2	1	14183680	0	INTEL	1410071.2932045844	1.0
SEGME	17	16	10000	2	1	12644106	0	INTEL	1581764.6577780982	1.0
SEGME	18	16	10000	2	1	14535715	0	INTEL	1375921.3083085353	1.0
SEGME	19	16	10000	2	1	67019	0	INTEL	298422835.31535834	1.0
COMPA	1	16	10000	2	1	44462763	0	INTEL	449814.60104042565	1.0
COMPA	2	16	10000	2	1	63945377	0	INTEL	312766.9416977556	1.0
COMPA	3	16	10000	2	1	41951093	0	INTEL	476745.6237671805	1.0
COMPA	4	16	10000	2	1	63497690	0	INTEL	314972.0879609951	1.0
COMPA	5	16	10000	2	1	46800774	0	INTEL	427343.35974870843	1.0
COMPA	6	16	10000	2	1	63988737	0	INTEL	312555.0047971723	1.0
COMPA	7	16	10000	2	1	64638099	0	INTEL	309415.0401916987	1.0
COMPA	8	16	10000	2	1	63668197	0	INTEL	314128.5750560833	1.0
COMPA	9	16	10000	2	1	65107166	0	INTEL	307185.8480217062	1.0
COMPA	10	16	10000	2	1	47336957	0	INTEL	422502.86599537864	1.0
COMPA	11	16	10000	2	1	38105048	0	INTEL	524864.8420545226	1.0
COMPA	12	16	10000	2	1	51904528	0	INTEL	385322.8373447496	1.0
COMPA	13	16	10000	2	1	32504913	0	INTEL	615291.6022264081	1.0
COMPA	14	16	10000	2	1	44100276	0	INTEL	453511.9009232505	1.0
COMPA	15	16	10000	2	1	56979370	0	INTEL	351004.2318825217	1.0
COMPA	16	16	10000	2	1	51888984	0	INTEL	385438.26566347876	1.0
COMPA	17	16	10000	2	1	34188914	0	INTEL	584984.9457049147	1.0
COMPA	18	16	10000	2	1	55095339	0	INTEL	363007.11390486226	1.0
COMPA	19	16	10000	2	1	70441	0	INTEL	283925554.7195525	1.0
BOOST	1	16	10000	2	1	45044602	0	INTEL	444004.36704935256	1.0
